진료년도,주상병코드,성별,환자수(명),청구건수(건),요양급여비용(원),보험자부담금(원)
2013,B60,남,313 ,377 ,6988220 ,4290720 
2013,B60,여,355 ,513 ,10594620 ,5989020 
2013,B64,남,29 ,41 ,548970 ,329270 
2013,B64,여,22 ,29 ,409590 ,287090 
2013,B65,남,56 ,99 ,993530 ,716130 
2013,B65,여,58 ,79 ,682830 ,537530 
2013,B66,남,4056 ,5395 ,304881780 ,193721750 
2013,B66,여,1676 ,2464 ,151935070 ,99833090 
2013,B67,남,9 ,10 ,8844150 ,7053350 
2013,B67,여,10 ,17 ,1121170 ,591770 
2013,B68,남,55 ,80 ,1174390 ,678490 
2013,B68,여,33 ,53 ,976870 ,581870 
2013,B69,남,316 ,978 ,210767160 ,142592040 
2013,B69,여,206 ,528 ,73230410 ,46839710 
2013,B70,남,83 ,232 ,42065750 ,30355850 
2013,B70,여,50 ,126 ,10442690 ,6131370 
2013,B71,남,40 ,42 ,787910 ,435110 
2013,B71,여,33 ,55 ,1238770 ,625170 
2013,B72,여,12 ,21 ,430470 ,257670 
2013,B73,여,10 ,11 ,159760 ,108560 
2013,B74,남,2 ,2 ,74690 ,42490 
2013,B74,여,4 ,4 ,58900 ,42100 
2013,B75,남,10 ,26 ,991930 ,337930 
2013,B75,여,3 ,7 ,591300 ,308330 
2013,B76,남,449 ,491 ,3611040 ,2419240 
2013,B76,여,640 ,687 ,5070670 ,3640570 
2013,B77,남,510 ,556 ,11729720 ,7697380 
2013,B77,여,578 ,650 ,6915770 ,4920780 
2013,B78,남,4 ,5 ,65080 ,30380 
2013,B78,여,3 ,19 ,85640 ,34140 
2013,B79,남,52 ,56 ,1709700 ,1014370 
2013,B79,여,49 ,57 ,3331070 ,1917940 
2013,B80,남,1517 ,1737 ,22503130 ,15830430 
2013,B80,여,1839 ,2046 ,26778260 ,18642160 
2013,B81,남,193 ,230 ,38095930 ,25438590 
2013,B81,여,190 ,240 ,33702970 ,22627720 
2013,B82,남,430 ,534 ,9279160 ,5926380 
2013,B82,여,490 ,595 ,9627320 ,6441070 
2013,B83,남,1243 ,1791 ,93498910 ,57034840 
2013,B83,여,971 ,1278 ,53066410 ,33096720 
2013,B85,남,22543 ,28379 ,382429360 ,273923880 
2013,B85,여,22303 ,26135 ,349789620 ,253466030 
2013,B86,남,21543 ,44930 ,664838780 ,429145500 
2013,B86,여,24498 ,44140 ,647495270 ,416327450 
2013,B87,남,65 ,104 ,2596030 ,2073170 
2013,B87,여,72 ,103 ,1651260 ,949360 
2013,B88,남,6800 ,11341 ,298777520 ,210472550 
2013,B88,여,8902 ,14946 ,362288810 ,253001520 
2013,B89,남,578 ,753 ,34530040 ,20782790 
2013,B89,여,533 ,687 ,16907700 ,9486870 
2013,B90,남,13780 ,28378 ,2280729530 ,1402488650 
2013,B90,여,10353 ,21494 ,1617250030 ,988426190 
2013,B91,남,487 ,1209 ,120128930 ,77996320 
2013,B91,여,453 ,2041 ,120378810 ,77583890 
2013,B92,남,2 ,2 ,1461140 ,1438510 
2013,B92,여,4 ,4 ,162820 ,110020 
2013,B94,남,128 ,527 ,106433530 ,79607390 
2013,B94,여,126 ,280 ,39474470 ,27443890 
2013,B95,남,1787 ,5541 ,204477610 ,163102240 
2013,B95,여,2268 ,6085 ,209563400 ,160641630 
2013,B96,남,2780 ,9273 ,300213220 ,215930420 
2013,B96,여,2631 ,7700 ,325078020 ,237516660 
2013,B97,남,468 ,763 ,92359640 ,73325070 
2013,B97,여,5714 ,10211 ,514244020 ,274130490 
2013,B98,남,7527 ,10964 ,334415980 ,161019750 
2013,B98,여,5683 ,8443 ,262299540 ,137301200 
2013,B99,남,636 ,905 ,46421130 ,30349820 
2013,B99,여,507 ,721 ,85911100 ,61978550 
2013,C00,남,186 ,856 ,243234720 ,226112440 
2013,C00,여,138 ,706 ,218037870 ,199135040 
2013,C01,남,491 ,4797 ,2018155800 ,1889984970 
2013,C01,여,188 ,1525 ,599516020 ,556452500 
2013,C02,남,1593 ,16486 ,6877737450 ,6426491880 
2013,C02,여,968 ,9939 ,3945296800 ,3684730410 
2013,C03,남,371 ,3107 ,1144506230 ,1068335060 
2013,C03,여,292 ,2711 ,1100926050 ,1026392080 
2013,C04,남,279 ,2548 ,1087505740 ,1011510290 
2013,C04,여,112 ,812 ,264174140 ,242504550 
2013,C05,남,340 ,3266 ,1266340050 ,1179540750 
2013,C05,여,292 ,2198 ,677163760 ,625052580 
2013,C06,남,811 ,8009 ,3295468970 ,3066149640 
2013,C06,여,570 ,5373 ,1894194780 ,1752779260 
2013,C07,남,801 ,9114 ,2950362340 ,2747925730 
2013,C07,여,705 ,5784 ,1899521500 ,1764152410 
2013,C08,남,621 ,6262 ,1926623170 ,1792034010 
2013,C08,여,563 ,5174 ,1531104820 ,1422444020 
2013,C09,남,1710 ,24671 ,8827988820 ,8267508830 
2013,C09,여,356 ,4130 ,1317077210 ,1228290610 
2013,C10,남,597 ,5827 ,2237333010 ,2088533710 
2013,C10,여,123 ,885 ,291114110 ,269030810 
2013,C11,남,1899 ,28274 ,9569668320 ,8918332610 
2013,C11,여,750 ,9925 ,3484747920 ,3233969770 
2013,C12,남,397 ,4620 ,1858535760 ,1740072980 
2013,C12,여,19 ,112 ,151142010 ,136256200 
2013,C13,남,1244 ,16766 ,8256821770 ,7727778040 
2013,C13,여,109 ,1384 ,658964950 ,614142690 
2013,C14,남,205 ,1416 ,614847820 ,572399730 
2013,C14,여,67 ,325 ,115491740 ,104793700 
2013,C15,남,7276 ,97039 ,48447622380 ,45253385800 
2013,C15,여,772 ,7741 ,3954987040 ,3664211540 
2013,C16,남,97049 ,686236 ,260625824450 ,241378760270 
2013,C16,여,47798 ,335259 ,126779714310 ,116778755060 
2013,C17,남,1475 ,12105 ,6075037380 ,5681316060 
2013,C17,여,1049 ,7411 ,3669397440 ,3392169330 
2013,C18,남,45382 ,350614 ,148369389750 ,137910318730 
2013,C18,여,31094 ,248989 ,110965276260 ,102538551160 
2013,C19,남,8464 ,61655 ,28351741580 ,26508364260 
2013,C19,여,4993 ,36785 ,16903879530 ,15756328240 
2013,C20,남,31345 ,312575 ,108680622650 ,100855062450 
2013,C20,여,18798 ,169815 ,60595170050 ,55784278770 
2013,C21,남,889 ,5990 ,1741738170 ,1594194550 
2013,C21,여,999 ,9063 ,2782075490 ,2550491850 
2013,C22,남,45885 ,497365 ,310582776380 ,289454894940 
2013,C22,여,15581 ,150305 ,92062916960 ,85357378720 
2013,C23,남,2947 ,26563 ,15318691610 ,14240246910 
2013,C23,여,3576 ,31616 ,18303624030 ,16919308730 
2013,C24,남,6230 ,58408 ,36307837550 ,33784612360 
2013,C24,여,4457 ,37793 ,24406722550 ,22568109200 
2013,C25,남,6743 ,93860 ,53225788130 ,49541332950 
2013,C25,여,5712 ,70541 ,40861803420 ,37889409460 
2013,C26,남,542 ,2795 ,976624560 ,904575240 
2013,C26,여,510 ,2420 ,786928100 ,715093280 
2013,C30,남,541 ,5689 ,1850946900 ,1724101930 
2013,C30,여,354 ,3639 ,1012583170 ,939465920 
2013,C31,남,582 ,7686 ,2892565840 ,2683332450 
2013,C31,여,336 ,3897 ,1426857970 ,1321776990 
2013,C32,남,6548 ,69645 ,21311872770 ,19792759320 
2013,C32,여,469 ,3814 ,1259845840 ,1154868570 
2013,C33,남,169 ,820 ,227843570 ,211257730 
2013,C33,여,119 ,771 ,298392610 ,275125250 
2013,C34,남,43533 ,563457 ,293162824630 ,272628755640 
2013,C34,여,21920 ,252780 ,133673789900 ,123909703430 
2013,C37,남,980 ,11426 ,3965536500 ,3693402230 
2013,C37,여,833 ,8698 ,3149210780 ,2923289850 
2013,C38,남,524 ,4063 ,2237232320 ,2072200210 
2013,C38,여,340 ,1924 ,1114773410 ,1022601030 
2013,C39,남,115 ,398 ,82819980 ,73912250 
2013,C39,여,84 ,247 ,89747910 ,80056480 
2013,C40,남,1058 ,9529 ,5358732330 ,4964863040 
2013,C40,여,844 ,6959 ,3847522110 ,3543853490 
2013,C41,남,1443 ,12304 ,6006046380 ,5565837530 
2013,C41,여,1258 ,9217 ,4867448390 ,4485090170 
2013,C43,남,1354 ,14133 ,4962304600 ,4617025470 
2013,C43,여,1572 ,15960 ,5217222250 ,4832408040 
2013,C44,남,4496 ,27611 ,6044842520 ,5534003220 
2013,C44,여,5645 ,30862 ,6583169210 ,5891506620 
