진료년도,암상병코드,환자수(명),청구건수(건),요양급여비용(원)
2016,C05,717 ,6662 ,2354131240 
2016,C06,1670 ,16762 ,7953414280 
2016,C07,1821 ,17252 ,6761720160 
2016,C08,1363 ,12506 ,4464062900 
2016,C09,2455 ,32090 ,12955936140 
2016,C10,873 ,9291 ,4130423780 
2016,C11,2860 ,39774 ,14830788730 
2016,C12,425 ,5361 ,2730406380 
2016,C13,1497 ,21325 ,11765780290 
2016,C14,267 ,1629 ,698941920 
2016,C15,9063 ,117070 ,66730288410 
2016,C16,154108 ,1038067 ,436156078440 
2016,C17,3022 ,25185 ,13445100500 
2016,C18,84126 ,647322 ,361595335640 
2016,C19,15685 ,113212 ,66686607490 
2016,C20,50813 ,475957 ,225916164260 
2016,C21,1957 ,17293 ,6746523750 
2016,C22,68638 ,698648 ,465696288370 
2016,C23,7515 ,64713 ,42812056640 
2016,C24,13269 ,128748 ,96576185800 
2016,C25,16081 ,209654 ,142244421460 
2016,C26,1085 ,6024 ,2006690900 
2016,C30,998 ,11808 ,4571139150 
2016,C31,978 ,13391 ,5809387060 
2016,C32,7264 ,73129 ,28153279190 
2016,C33,264 ,1767 ,632721240 
2016,C34,78849 ,937567 ,538324749740 
2016,C38,1029 ,8119 ,4885691470 
2016,C39,207 ,763 ,271384200 
2016,C40,1865 ,14982 ,9106546500 
2016,C41,3329 ,25049 ,15758375130 
2016,C43,3469 ,37563 ,13847344040 
2016,C44,13681 ,77115 ,20732096870 
2016,C45,387 ,4737 ,3665872510 
2016,C46,384 ,3108 ,677821990 
2016,C47,380 ,3359 ,1517202930 
2016,C48,2105 ,20962 ,14216997530 
2016,C49,6759 ,68440 ,31908894980 
2016,C50,155142 ,1973817 ,616591423280 
2016,C51,560 ,5031 ,2107359610 
2016,C52,369 ,3833 ,1576354020 
2016,C53,26432 ,236581 ,88630687990 
2016,C54,14506 ,115492 ,40576859580 
2016,C55,1476 ,11572 ,4721827050 
2016,C56,18576 ,180736 ,102495080750 
2016,C57,1136 ,9117 ,4451213910 
2016,C60,254 ,1979 ,710888790 
2016,C61,69534 ,544551 ,153405776240 
